episode,episode_length,epsilon,timestamp,total_reward
0,12,1.0,2026-01-15T15:41:59.965128,0.0
1,12,0.997,2026-01-15T15:41:59.965128,0.0
2,4,0.994009,2026-01-15T15:41:59.965128,0.0
3,24,0.991026973,2026-01-15T15:41:59.965128,0.0
4,33,0.988053892081,2026-01-15T15:41:59.965128,0.0
5,5,0.985089730404757,2026-01-15T15:41:59.965128,0.0
6,4,0.9821344612135428,2026-01-15T15:41:59.965128,0.0
7,10,0.9791880578299021,2026-01-15T15:41:59.965128,0.0
8,16,0.9762504936564125,2026-01-15T15:41:59.966645,0.0
9,3,0.9733217421754432,2026-01-15T15:41:59.966645,0.0
10,10,0.9704017769489168,2026-01-15T15:41:59.966645,0.0
11,8,0.9674905716180701,2026-01-15T15:41:59.966645,0.0
12,3,0.9645880999032158,2026-01-15T15:41:59.966645,0.0
13,3,0.9616943356035061,2026-01-15T15:41:59.966645,0.0
14,18,0.9588092525966956,2026-01-15T15:41:59.967406,0.0
15,12,0.9559328248389055,2026-01-15T15:41:59.967406,0.0
16,5,0.9530650263643888,2026-01-15T15:41:59.967406,0.0
17,3,0.9502058312852957,2026-01-15T15:41:59.967406,0.0
18,9,0.9473552137914398,2026-01-15T15:41:59.967406,0.0
19,14,0.9445131481500655,2026-01-15T15:41:59.968412,0.0
20,3,0.9416796087056153,2026-01-15T15:41:59.968412,0.0
21,8,0.9388545698794984,2026-01-15T15:41:59.968412,0.0
22,5,0.93603800616986,2026-01-15T15:41:59.968412,0.0
23,9,0.9332298921513504,2026-01-15T15:41:59.968412,0.0
24,2,0.9304302024748964,2026-01-15T15:41:59.968412,0.0
25,14,0.9276389118674717,2026-01-15T15:41:59.968412,0.0
26,7,0.9248559951318693,2026-01-15T15:41:59.968412,0.0
27,3,0.9220814271464737,2026-01-15T15:41:59.968412,0.0
28,9,0.9193151828650342,2026-01-15T15:41:59.969412,0.0
29,4,0.9165572373164391,2026-01-15T15:41:59.969412,0.0
30,3,0.9138075656044898,2026-01-15T15:41:59.969412,0.0
31,4,0.9110661429076764,2026-01-15T15:41:59.969412,0.0
32,3,0.9083329444789534,2026-01-15T15:41:59.969412,0.0
33,2,0.9056079456455165,2026-01-15T15:41:59.969412,0.0
34,2,0.90289112180858,2026-01-15T15:41:59.969412,0.0
35,4,0.9001824484431542,2026-01-15T15:41:59.969412,0.0
36,5,0.8974819010978248,2026-01-15T15:41:59.969412,0.0
37,2,0.8947894553945313,2026-01-15T15:41:59.969412,0.0
38,2,0.8921050870283477,2026-01-15T15:41:59.969412,0.0
39,11,0.8894287717672626,2026-01-15T15:41:59.970413,0.0
40,6,0.8867604854519608,2026-01-15T15:41:59.970413,0.0
41,10,0.884100203995605,2026-01-15T15:41:59.970413,0.0
42,10,0.8814479033836181,2026-01-15T15:41:59.970413,0.0
43,12,0.8788035596734672,2026-01-15T15:41:59.970413,0.0
44,4,0.8761671489944468,2026-01-15T15:41:59.970413,0.0
45,3,0.8735386475474635,2026-01-15T15:41:59.970413,0.0
46,4,0.8709180316048211,2026-01-15T15:41:59.971411,0.0
47,3,0.8683052775100066,2026-01-15T15:41:59.971411,0.0
48,10,0.8657003616774767,2026-01-15T15:41:59.971411,0.0
49,10,0.8631032605924442,2026-01-15T15:41:59.971411,0.0
50,11,0.860513950810667,2026-01-15T15:41:59.971411,0.0
51,12,0.857932408958235,2026-01-15T15:41:59.971411,0.0
52,24,0.8553586117313603,2026-01-15T15:41:59.972413,0.0
53,4,0.8527925358961662,2026-01-15T15:41:59.972413,0.0
54,9,0.8502341582884777,2026-01-15T15:41:59.972413,0.0
55,11,0.8476834558136123,2026-01-15T15:41:59.972413,0.0
56,9,0.8451404054461714,2026-01-15T15:41:59.973413,0.0
57,13,0.8426049842298329,2026-01-15T15:41:59.973413,0.0
58,19,0.8400771692771434,2026-01-15T15:41:59.973413,0.0
59,8,0.837556937769312,2026-01-15T15:41:59.973413,0.0
60,6,0.835044266956004,2026-01-15T15:41:59.973413,0.0
61,15,0.8325391341551359,2026-01-15T15:41:59.973413,0.0
62,9,0.8300415167526705,2026-01-15T15:41:59.974415,0.0
63,8,0.8275513922024125,2026-01-15T15:41:59.974415,0.0
64,14,0.8250687380258053,2026-01-15T15:41:59.974415,0.0
65,15,0.8225935318117279,2026-01-15T15:41:59.974415,0.0
66,25,0.8201257512162927,2026-01-15T15:41:59.975411,0.0
67,7,0.8176653739626438,2026-01-15T15:41:59.975411,0.0
68,29,0.8152123778407558,2026-01-15T15:41:59.975411,0.0
69,12,0.8127667407072335,2026-01-15T15:41:59.975411,0.0
70,13,0.8103284404851119,2026-01-15T15:41:59.975411,0.0
71,3,0.8078974551636565,2026-01-15T15:41:59.976411,0.0
72,6,0.8054737627981655,2026-01-15T15:41:59.976411,0.0
73,5,0.803057341509771,2026-01-15T15:41:59.976411,0.0
74,8,0.8006481694852418,2026-01-15T15:41:59.976411,0.0
75,13,0.798246224976786,2026-01-15T15:41:59.976411,0.0
76,5,0.7958514863018556,2026-01-15T15:41:59.976411,0.0
77,7,0.79346393184295,2026-01-15T15:41:59.976411,0.0
78,16,0.7910835400474212,2026-01-15T15:41:59.976411,0.0
79,23,0.7887102894272789,2026-01-15T15:41:59.976411,0.0
80,14,0.7863441585589971,2026-01-15T15:41:59.977410,0.0
81,3,0.78398512608332,2026-01-15T15:41:59.977410,0.0
82,13,0.7816331707050701,2026-01-15T15:41:59.977410,0.0
83,5,0.7792882711929549,2026-01-15T15:41:59.977410,0.0
84,21,0.776950406379376,2026-01-15T15:41:59.977913,0.0
85,16,0.7746195551602378,2026-01-15T15:41:59.977913,0.0
86,13,0.7722956964947572,2026-01-15T15:41:59.977913,0.0
87,24,0.7699788094052729,2026-01-15T15:41:59.977913,0.0
88,21,0.767668872977057,2026-01-15T15:41:59.977913,0.0
89,14,0.7653658663581259,2026-01-15T15:41:59.977913,0.0
90,11,0.7630697687590515,2026-01-15T15:41:59.978916,0.0
91,3,0.7607805594527743,2026-01-15T15:41:59.978916,0.0
92,34,0.7584982177744161,2026-01-15T15:41:59.978916,0.0
93,4,0.7562227231210928,2026-01-15T15:41:59.978916,0.0
94,4,0.7539540549517295,2026-01-15T15:41:59.978916,0.0
95,8,0.7516921927868743,2026-01-15T15:41:59.978916,0.0
96,7,0.7494371162085136,2026-01-15T15:41:59.978916,0.0
97,3,0.747188804859888,2026-01-15T15:41:59.978916,0.0
98,2,0.7449472384453084,2026-01-15T15:41:59.978916,0.0
99,21,0.7427123967299725,2026-01-15T15:41:59.978916,0.0
100,23,0.7404842595397826,2026-01-15T15:41:59.979917,0.0
101,23,0.7382628067611632,2026-01-15T15:41:59.979917,0.0
102,7,0.7360480183408797,2026-01-15T15:41:59.979917,0.0
103,10,0.7338398742858571,2026-01-15T15:41:59.979917,0.0
104,8,0.7316383546629995,2026-01-15T15:41:59.979917,0.0
105,15,0.7294434395990105,2026-01-15T15:41:59.980919,0.0
106,18,0.7272551092802134,2026-01-15T15:41:59.980919,0.0
107,9,0.7250733439523728,2026-01-15T15:41:59.980919,0.0
108,11,0.7228981239205157,2026-01-15T15:41:59.980919,0.0
109,30,0.7207294295487541,2026-01-15T15:41:59.980919,0.0
110,5,0.7185672412601078,2026-01-15T15:41:59.980919,0.0
111,13,0.7164115395363275,2026-01-15T15:41:59.981918,0.0
112,7,0.7142623049177186,2026-01-15T15:41:59.981918,0.0
113,5,0.7121195180029655,2026-01-15T15:41:59.981918,0.0
114,5,0.7099831594489566,2026-01-15T15:41:59.981918,0.0
115,12,0.7078532099706097,2026-01-15T15:41:59.981918,0.0
116,24,0.7057296503406979,2026-01-15T15:41:59.981918,0.0
117,6,0.7036124613896758,2026-01-15T15:41:59.982919,0.0
118,4,0.7015016240055068,2026-01-15T15:41:59.982919,0.0
119,33,0.6993971191334902,2026-01-15T15:41:59.982919,0.0
120,4,0.6972989277760897,2026-01-15T15:41:59.982919,0.0
121,17,0.6952070309927615,2026-01-15T15:41:59.983920,0.0
122,11,0.6931214098997832,2026-01-15T15:41:59.983920,0.0
123,5,0.6910420456700839,2026-01-15T15:41:59.983920,0.0
124,5,0.6889689195330736,2026-01-15T15:41:59.983920,0.0
125,17,0.6869020127744744,2026-01-15T15:41:59.983920,0.0
126,7,0.684841306736151,2026-01-15T15:41:59.984921,0.0
127,2,0.6827867828159425,2026-01-15T15:41:59.984921,0.0
128,15,0.6807384224674947,2026-01-15T15:41:59.984921,0.0
129,16,0.6786962072000923,2026-01-15T15:41:59.984921,0.0
130,11,0.676660118578492,2026-01-15T15:41:59.984921,0.0
131,4,0.6746301382227565,2026-01-15T15:41:59.984921,0.0
132,66,0.6726062478080883,2026-01-15T15:41:59.985919,0.0
133,8,0.6705884290646641,2026-01-15T15:41:59.985919,0.0
134,17,0.66857666377747,2026-01-15T15:41:59.985919,0.0
135,57,0.6665709337861376,2026-01-15T15:41:59.986918,0.0
136,14,0.6645712209847792,2026-01-15T15:41:59.986918,0.0
137,32,0.6625775073218249,2026-01-15T15:41:59.987918,0.0
138,9,0.6605897747998594,2026-01-15T15:41:59.987918,0.0
139,2,0.6586080054754598,2026-01-15T15:41:59.987918,0.0
140,20,0.6566321814590335,2026-01-15T15:41:59.987918,0.0
141,9,0.6546622849146564,2026-01-15T15:41:59.987918,0.0
142,3,0.6526982980599124,2026-01-15T15:41:59.987918,0.0
143,17,0.6507402031657327,2026-01-15T15:41:59.987918,0.0
144,8,0.6487879825562355,2026-01-15T15:41:59.987918,0.0
145,19,0.6468416186085668,2026-01-15T15:41:59.988918,0.0
146,19,0.6449010937527411,2026-01-15T15:41:59.988918,0.0
147,8,0.6429663904714829,2026-01-15T15:41:59.988918,0.0
